圖騰,個人情感特質,情感關係中的盲點,改善關係的建議,需要伴侶了解的重點
紅龍,你情感深沉且充滿保護欲，就像家裡的大樹，會為親近的人撐起一片天。比如看到家人生病，你會第一時間照顧、安排一切。,你很容易為了照顧對方而忽略自己。比如，明明自己累得快倒了，還硬撐著不說，最後累積成怨氣。,學著先照顧好自己，才有力氣照顧別人。比如，每天給自己一杯熱茶，讓自己放鬆，才不會在關係裡爆炸。,我很需要你知道，我是個會全心照顧家人和朋友的人，請不要誤會我太關心你是想控制，而是因為我在乎。
白風,你喜歡用言語表達情感，感覺愛就是說出來的。比如在吵架時，你會用話語想修補關係，期待被理解和傾聽。,你有時講太多，說話太快，讓對方聽不清楚或誤會。就像聊天太急，結果被對方當成不耐煩。,說話時先想清楚再說，避免講太快讓人誤會。像是吵架時，先停頓三秒，心裡想想要表達什麼再說。,我需要你知道，我喜歡透過說話交流情感，所以請多聽我說，也願意跟我分享你的想法。
藍夜,你情感細膩且內向，喜歡在內心世界尋找安全感。像是遇到情感困擾時，常會寫日記或做夢境解析，讓自己釋放壓力。,你太喜歡躲在自己內心世界，情感問題不願意表達。像是遇到不舒服的事情，只默默吞下，讓心裡越積越多。,不要把情緒悶在心裡，適時跟對方分享感受。例如用寫信的方式，慢慢把心裡話說出來。,我有時候喜歡獨處沉澱，不是因為不愛你，而是我需要時間整理自己的感受和想法。
黃種子,你情感進展比較慢熱，喜歡逐步建立信任。比如交朋友或戀愛，先觀察、慢慢靠近，絕不急於表達全部感情。,你常常害怕被拒絕，不敢在關係裡冒險表達真正的想法。就像想說出口，卻一直卡在喉嚨裡。,慢慢建立信任，不急著逼對方。像是約會時，不用一下子就說太多未來的計畫，給彼此空間發展。,我可能比較慢熱，對關係會比較謹慎，希望你能給我時間慢慢打開心房。
紅蛇,你情感直率且強烈，情緒起伏明顯。比如生氣時可能會很激烈表達，但同時你也很快就會恢復平靜。,你的情緒來得快去得也快，容易衝動說出傷人的話。比如氣頭上不小心爆粗口，事後又後悔。,學會冷靜下來再說話。生氣時可以深呼吸10下，等情緒平穩再溝通，避免傷害彼此。,我情緒很直接，有時候爆發，但過後我會很快平靜，請不要把一時情緒當成全部。
白世界橋,你情感包容力強，善於化解衝突。像是朋友吵架，你會當中間人調和，幫大家找到共識。,你太想維持和平，結果壓抑自己的需求。像是一味遷就，最後變成悶在心裡的火山。,敢於說『不』，建立健康界線。像是你不喜歡某件事，可以溫柔地拒絕，而不是一味遷就。,我很希望你能理解，我喜歡和平，有時會為了避免爭吵而隱忍，但我需要你主動關心我的感受。
藍手,你很會用行動表達情感，喜歡透過幫助別人來展現愛。比如會主動照顧生病的朋友，或者為伴侶做飯。,你習慣用行動來表達愛，但對方可能看不見你的努力。就像忙著做好事，卻沒說出自己的感受。,用行動表達關心，但別忘了說出口。做了事後，可以說『我做這件事是因為我在乎你』。,我習慣用行動表達愛意，像是幫你做事情，請別只看言語，也看我的行動。
黃星星,你情感中帶著美感與浪漫，喜歡製造小驚喜或美好回憶。比如在約會時準備特別的場景或小禮物。,你追求完美的關係，但常因此失望。像是對方做不到你心中的理想形象，容易感到挫敗。,製造關係中的小儀式，比如週末一起做晚餐或看電影，增進情感連結。,我重視生活的美感和質感，喜歡我們的生活環境舒服又有風格，希望你一起參與。
紅月,你情感豐富且敏感，會深刻感受別人的情緒。比如當朋友難過時，你能立刻察覺並給予溫暖陪伴。,你太敏感，容易被對方的小情緒影響。比如對方一句無心話，卻讓你難過好幾天。,多練習情緒覺察，覺察自己情緒再告訴對方。像是說『我現在有點生氣，想先冷靜一下』。,我很敏感，對情緒特別有感覺，請多給我安全感，尤其是在我情緒波動時耐心陪伴。
白狗,你忠誠且無條件愛人，常把朋友和家人放在第一位。比如即使被誤會，也願意給對方時間和空間。,你過度付出，容易失去自我。就像把對方放第一，忘了照顧自己的需求和界線。,學著接受自己和對方的不完美。比如對方犯錯，不用批評，而是說『我理解你這樣做的原因』。」,我很忠誠也很重感情，有時候會因為愛而過度付出，需要你提醒我也要照顧自己。
藍猴,你喜歡用幽默和玩樂來化解情感緊張，讓大家笑著解決問題。比如當氣氛僵時，你會講笑話或做搞怪動作。,你用幽默化解問題，但有時對方覺得你不夠認真。像是在重要時刻開玩笑，反而讓對方生氣。,適時用幽默緩和氣氛，但要注意時機。吵架時說笑話，要看對方願不願意放下。,我喜歡用幽默化解問題，偶爾開玩笑，但也希望你知道我認真時的樣子。
黃人,你重視情感自由與界線，尊重彼此的空間。比如不會強迫伴侶分享所有感受，但會保持開放態度。,你很尊重彼此自由，可能不太願意承諾，讓對方感覺你疏離。比如朋友問你『要不要穩定交往』，你總是迴避。,尊重彼此的空間和自由，不要強求。比如對方需要獨處時，給予支持而不是緊追不放。,我重視自由和空間，希望你不要太緊迫我，讓我有自己呼吸的空間。
紅天行者,你喜歡情感的冒險和刺激，願意嘗試新鮮的情感體驗。比如愛情中追求激情和新奇感。,你喜歡新鮮感，容易忽略關係的經營。像是熱戀期很狂熱，過了就失去耐心。,嘗試帶對方一起冒險，創造新鮮感。可以計劃短途旅行或一起學新技能。,我愛冒險和新鮮感，希望你能理解我需要不斷探索和挑戰。
白巫師,你情感中帶有神秘感，喜歡用儀式感或特別方式來加深感情。比如用寫信或特別日子慶祝來傳達心意。,你情感有距離感，不容易讓人走近。比如很少分享自己內心真實想法，讓伴侶覺得你神秘又難懂。,用小儀式來增進感情，比如一起點蠟燭、寫感謝卡，讓關係有儀式感。,我喜歡有儀式感的生活方式，這讓我覺得關係特別有意義，希望你能一起參與。
藍鷹,你情感中帶有遠見和智慧，善於看清關係的整體脈絡。比如在衝突時能冷靜分析，找到問題根源。,你太理性，情感時常被壓抑。就像遇到衝突，先冷靜分析，卻忽略了對方的感受。,用宏觀角度看待問題，不要只糾結細節。遇衝突時，問問自己『我們的共同目標是什麼？』,我喜歡規劃和遠見，希望你能跟我一起看長遠的未來。
黃戰士,你情感上勇於直面挑戰，不怕在關係中表達真實感受。比如即使難過也會直接說出來，尋求解決。,你喜歡爭辯和對抗，認為這是溝通方式。比如吵架時堅持要說服對方，結果感情變僵。,勇敢說出內心話，不怕被拒絕。說『我需要你陪我談談』比悶在心裡強多了。,我勇敢直接，喜歡坦誠面對問題，有時可能太激烈，希望你能包容我的熱情。
紅地球,你情感重視共融和安全感，喜歡在穩定中成長。比如家庭生活中注重彼此支持和協作。,你太照顧集體，容易忽略個人情感需求。就像為了家庭和諧，壓抑自己不滿。,多參與團隊活動或家庭聚會，建立共同回憶，強化彼此連結。,我看重家庭和團隊，希望你能和我一起營造溫暖穩定的環境。
白鏡,你在情感上坦承、直言不諱。比如會直接指出伴侶的不足，但同時也期待對方真誠回應。,你誠實直接，但有時會太過尖銳傷人。像是直言不諱批評對方，反而讓關係破裂。,保持誠實但溫柔，用『我感覺……』代替指責。像是說『我覺得被忽略了』，而不是『你從不關心我』。,我很誠實，有時直言不諱，可能會傷人，希望你知道這是為了彼此成長。
藍風暴,你情感強烈且充滿變化，不害怕衝突，喜歡從衝突中淬鍊關係。比如吵架後反而讓感情更堅固。,你情緒起伏大，變化太快讓人不安。比如今天超愛對方，明天卻突然冷淡。,接受關係的變化和波動，把衝突看成成長契機。,我情緒變化大，有時會突然需要空間，請不要誤會我的冷淡。
黃太陽,你情感溫暖開朗，喜歡用陽光和熱情感染他人。比如會經常鼓勵伴侶，帶來正能量。,你太陽光燦爛，有時忽略伴侶的負面情緒。像是對方在難過，你還是想用笑容把氣氛拉回正面，讓對方覺得被忽略。,用正面能量感染對方，多說讚美和感謝，讓關係充滿溫暖。,我喜歡帶給你溫暖和正能量，請多接受我的愛，也願意讓我靠近你。
