圖騰,我的金錢觀,金錢盲點,創造豐盛的方法,如何達到財富自由
紅龍,我覺得錢是用來保護家人、照顧親人的東西。錢代表我能夠提供安全感和溫暖給我愛的人，所以我花錢時會很在意家人和朋友的需要。,你很愛照顧別人，常常先把錢花在家人和朋友身上，結果自己沒有存到錢，甚至緊急狀況時會手忙腳亂。,每天給自己一點時間，像是泡杯茶，靜下心來，感謝自己有能力照顧家人，這種正向能量會帶來更多財富和資源。,要學會先照顧好自己，建立穩固的財務基礎，這樣你才能持續照顧家人，財富自由才會是長久的。
白風,錢是我表達專業價值的工具。透過我賺到的錢，別人會知道我做的事情有價值，所以我希望用錢來證明自己的能力和溝通力。,你口才很好，但面對報價或收費時，總覺得說出價格會讓人不舒服，害怕被嫌貴，導致賺不到該有的價值。,練習用自信的語氣說出自己的價格，像在介紹喜歡的東西一樣自然，久了就不害怕收錢了。,勇敢表達自己的價值和服務價格，不害怕被拒絕，這是賺錢的基本，也是自由的開始。
藍夜,我覺得錢是實現夢想的橋樑，沒有錢就沒辦法完成心中那些奇妙的想法。但有時我覺得錢有點抽象，像是夢想裡的燃料。,你腦子裡充滿夢想和計劃，但容易只停留在想像階段，不太付諸行動，錢自然也來得慢。,把大夢拆成小目標，先專注賺到夢想裡的第一筆錢，讓夢想一步步變現。,把夢想分解成實際步驟，不要只停留在幻想，持續執行是通往自由的關鍵。
黃種子,我看錢像是未來的種子，今天存下的每一分錢都是為了明天能開花結果。錢是我成長的支持和養分。,你總覺得自己還沒準備好，怕開始做就失敗或不完美，結果計劃停滯，錢流不進口袋。,每天種下一點希望，不管是學新技能、做小投資，累積起來就是豐盛的開始。,持續投入自己成長，哪怕是每天一點點，積少成多，財富自由就是持續累積的結果。
紅蛇,我覺得錢就是生活的享受，想買就買，因為錢能讓我感覺快樂和滿足，尤其是情緒低落的時候，錢是我放鬆的出口。,遇到壓力或不順時，你很容易用花錢購物來安慰自己，花掉的錢卻常常讓你事後更焦慮。,學會用呼吸和動作調節情緒，避免因情緒花錢，讓自己花得明白，財富才會長久。,學會管理情緒，不讓衝動決定你的花費，穩健的金錢觀念是自由的保障。
白世界橋,錢是一種互相交換的能量，我用錢和別人建立關係，維持互惠互利。所以錢不只是東西，更是關係的橋樑。,你不太敢開價收錢，怕別人不喜歡你或覺得你貪心，結果常常白忙一場沒得到回報。,勇敢設立價格界線，知道自己該收多少，這樣才能讓雙方都覺得公平又舒服。,設立健康的財務界線，知道什麼時候該收錢、該拒絕是保護自己財富的重要技能。
藍手,錢是幫助別人的力量，我用我的錢為別人帶來療癒和支持。賺錢不是為了自己，而是讓我能付出更多。,你總是免費幫人做很多事，卻忘了自己也要生活，導致能量耗盡又沒收入。,開始對自己的服務設定底價，讓你在幫助別人的同時，也能持續有收入來源。,將幫助他人轉化為穩定的收入來源，讓你的時間和努力都有回報，財富才會持續增長。
黃星星,錢是讓生活更美好的工具，我花錢在讓環境變得舒服、漂亮的東西上，錢讓我生活有質感。,你很講究生活品味，但容易在非必要的地方花過頭，最後發現錢包不夠用。,訂立每月的美感預算，合理花錢享受生活，不但讓你開心，也吸引更多財富。,制定合理的生活預算，享受生活同時不超支，平衡是財富自由的基石。
紅月,我覺得錢和情緒息息相關，錢多錢少會直接影響我的心情，錢就像是情緒的氣候預報表。,你的情緒波動大，情緒不好時會亂花錢買東西，好像錢能帶來情緒安全感，但只是短暫解決。,情緒起伏時不衝動花錢，轉而用寫日記或運動來排解，讓財務更穩定。,保持情緒穩定，不讓情緒起伏影響你的財務決策，讓錢流得更順暢。
白狗,錢是我表達愛的方式，透過花錢照顧家人和朋友來表達我的關心，錢代表我的付出和情感,你用花錢表示愛，總是幫別人付錢、買禮物，但自己卻很少為自己存錢，導致金錢壓力。,用非金錢的方式表達愛，像是做家事、陪伴，減少不必要的金錢流失。,懂得在愛和金錢之間找到平衡，不用用花錢證明愛，這樣你才能理財自如。
藍猴,錢是我享受生活和玩樂的資源，賺錢是為了能盡情玩、嘗試新鮮事，錢帶給我自由和快樂。,你賺錢速度快，花錢也快，沒有預算規劃，錢常常來得快去得也快。,做好娛樂預算規劃，定時給自己放鬆，但不要超支，讓玩樂不傷財。,計畫你的娛樂和消費，讓生活有趣又不失控，財富自由就是能自由掌控錢的流向。
黃人,我把錢看成自由的象徵，有了錢我可以選擇自己想做的事，錢給我掌控人生的能力。,你重視自由，不喜歡受理財或預算限制，結果錢流動不穩定，難以累積財富。,養成簡單記帳習慣，讓你更了解錢去哪，感受到掌控的自由。,培養理財習慣，記帳並清楚了解自己的收支，掌握財務狀況是自由的關鍵。
紅天行者,錢是我追求冒險和新體驗的門票，賺錢是為了去探索未知和改變生活環境。,你一有錢就想花，喜歡出門旅遊或買新玩具，難以存下長期資金。,把旅行和穩定生活的費用分開管理，讓夢想不影響生活的根基。,平衡享受當下和存錢未來，分配好預算，既能冒險也能穩定積累。
白巫師,我覺得錢是一種能量的流動，有時錢就像空氣一樣自由自在，不必計較數字的多少。,你對錢的感覺比較抽象，經常不記帳，錢用去哪裡都不清楚，容易手滑。,讓記帳成為一種儀式，搭配放鬆音樂或香氛，讓理財變成享受。,讓理財成為你的儀式，持續觀察和調整，這是長久財務健康的秘訣。
藍鷹,錢是我實現大目標的資源，錢幫助我把宏大的計劃和夢想變成可能。,你總是想得很遠，但常常因計劃太大而不敢開始，結果錢沒賺到，夢想也空轉。,把大計劃拆解成短期目標，先做能完成的小任務，累積成大成功。,制定清晰的財務目標，並分階段達成，目標明確才容易實現自由。
黃戰士,錢是我能力的證明，賺越多就越覺得自己有價值和力量。,你對自己很有要求，想用賺錢證明價值，容易陷入高壓和焦慮，反而影響賺錢的能力。,學會放下對成就的壓力，找出賺錢真正的動機，讓心態更輕鬆。,放下過度競爭和壓力，找到自己真正喜歡的賺錢方式，這樣才能持久且快樂地賺錢。
紅地球,錢是我支持團隊和社群的力量，透過錢我能幫助更多人，一起成長和進步。,你總是為大家想，把錢花在別人身上太多，結果自己負擔不起生活成本。,定期為自己留出預算，寵愛自己，增加幸福感，也讓能量流動更順暢。,為自己和他人創造共贏，建立良好的人脈和資源網絡，這是財富自由的重要助力。
白鏡,我看錢是公平和真實的象徵，錢來錢往都要講究平衡和合理，錢反映了事情的真相。,你對錢太計較，想要做到完美才敢收錢，常常拖延推廣和接案。,接受自己的不完美，先行動再優化，財富才會慢慢累積。,接受自己的不足，勇敢行動，不用等待完美，行動才是財富累積的開始。
藍風暴,錢是我人生大轉變的催化劑，錢幫助我清理舊有模式，創造全新局面。,你喜歡大起大落的刺激，常常有大筆進出，但缺乏穩定，導致財務容易失衡。,注意財務波動背後的情緒起伏，養成冷靜觀察的習慣，避免衝動決策。,學會應對財務波動，保持心態穩定，這樣你才能渡過挑戰並持續前進。
黃太陽,錢是我分享光和愛的媒介，透過錢我能給予別人溫暖，也讓自己活得更加明亮有力量。,你很樂於分享和付出，但怕向人開口收錢，導致收入不穩定。,勇敢說出你的價值，並溫柔地收費，讓財富流入你的生活。,勇於收取應得的價值，用心經營自己的事業，這樣才能讓財富源源不絕地流入。
